83,Beca Especial FFAA 2014-02,LIMA,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE INDEPENDENCIA,SOLDADOR DE ESTRUCTURAS,MASCULINO,14/04/2026 14:01:19
84,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-07,Instituto de Educación Superior,IES PRIVADO CERTUS,SEDE SANTIAGO DE SURCO,ADMINISTRACION DE NEGOCIOS BANCARIOS Y FINANCIEROS,FEMENINO,14/04/2026 14:01:19
85,Beca de Continuidad de Estudios 2020   ,JUNIN,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD PERUANA LOS ANDES,SEDE HUANCAYO,PSICOLOGIA,MASCULINO,14/04/2026 14:01:19
86,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,INGENIERIA DE SISTEMAS EMPRESARIALES,FEMENINO,14/04/2026 14:01:19
87,Presidente de la República 2014-03,ARGENTINA,Becarios declarados nulos,,,2014-12,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA ARGENTINA,SEDE ROSARIO,MAESTRIA EN INGENIERIA AMBIENTAL Y DESARROLLO SUSTENTABLE,MASCULINO,14/04/2026 14:01:19
88,Beca Postgrado para estudios en maestría dirigido a catedráticos de universidades publicas del país 2016   ,LIMA,Becarios declarados nulos,,,2016-02,Universidad,UNIVERSIDAD NACIONAL DE INGENIERIA,SEDE LIMA,MAESTRIA EN CIENCIAS CON MENCION EN ARQUITECTRUA - VIVIENDA,FEMENINO,14/04/2026 14:01:19
89,Beca de Continuidad de Estudios 2020   ,TACNA,Becarios declarados nulos,,,2020-06,Universidad,UNIVERSIDAD PRIVADA DE TACNA,SEDE POCOLLAY,INGENIERIA DE SISTEMAS,MASCULINO,14/04/2026 14:01:19
90,Beca de Continuidad de Estudios 2020   ,JUNIN,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD PERUANA LOS ANDES,SEDE HUANCAYO,PSICOLOGIA,MASCULINO,14/04/2026 14:01:19
91,Beca de Continuidad de Estudios 2020   ,LA LIBERTAD,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE LA ESPERANZA,ADMINISTRACION INDUSTRIAL,FEMENINO,14/04/2026 14:01:19
92,Beca CNA 2019   ,LIMA,Becarios declarados nulos,,,2019-03,Universidad,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS,SEDE SANTIAGO DE SURCO,INGENIERIA CIVIL,FEMENINO,14/04/2026 14:01:19
93,Beca 18 CNA 2017   ,LIMA,Becarios declarados nulos,,2018-03,2017-06,Instituto de Educación Superior,CENTRO DE FORMACION EN TURISMO - CENFOTUR,SEDE BARRANCO,ADMINISTRACION HOTELERA,FEMENINO,14/04/2026 14:01:19
94,Beca Especial de Inglés para estudiantes de 4° año de educación secundaria de instituciones públicas EBR 2015   ,AREQUIPA,Becarios declarados nulos,,2016-08,2015-07,Instituto de Idiomas,ICPNA,SEDE AREQUIPA,INGLES,FEMENINO,14/04/2026 14:01:19
95,Beca Especial de Inglés para estudiantes de 4° año de educación secundaria de instituciones públicas EBR 2015   ,AREQUIPA,Becarios declarados nulos,,2016-11,2015-07,Instituto de Idiomas,ICPNA,SEDE AREQUIPA,INGLES,MASCULINO,14/04/2026 14:01:19
